"job_description","structured_json"
"Role Overview
a fintech company is seeking a Mid-level React Developer to help us with building modern, component-based frontend applications. This is a hands-on role for someone who thrives in a fast-paced, collaborative environment. This is a mid-level position for someone ready to take ownership of features and deliver independently.
Nice-to-Haves:
* Storybook
* Tailwind CSS
* Performance tuning
* Testing libraries
* Next.js
* Experience contributing to open-source projects
Must Have:
* REST / GraphQL integration
* React
* Component-driven development
* State management
* JavaScript / TypeScript
* Solid computer science fundamentals, formal degree or self-taught
* Strong understanding of software engineering fundamentals
The Right Mindset:
* Ability to work independently and collaboratively
* Genuine curiosity and eagerness to learn new technologies
* Strong ownership and accountability
* Comfort working in a fast-paced, ambiguous environment
* Excellent problem-solving and analytical skills
Core Responsibilities:
* Write clean, maintainable, and well-tested code
* Design, develop, and maintain building modern, component-based frontend applications
* Collaborate with product, design, and engineering teams to deliver high-quality features
* Review code and provide constructive feedback to peers
* Translate business requirements into scalable technical solutions","{""job_summary"": ""a fintech company is seeking a Mid-level React Developer to help us with building modern, component-based frontend applications. This is a hands-on role for someone who thrives in a fast-paced, collaborative environment. This is a mid-level position for someone ready to take ownership of features and deliver independently."", ""role_description"": [""Write clean, maintainable, and well-tested code"", ""Design, develop, and maintain building modern, component-based frontend applications"", ""Collaborate with product, design, and engineering teams to deliver high-quality features"", ""Review code and provide constructive feedback to peers"", ""Translate business requirements into scalable technical solutions""], ""required_skills"": [""REST / GraphQL integration"", ""React"", ""Component-driven development"", ""State management"", ""JavaScript / TypeScript"", ""Strong understanding of software engineering fundamentals""], ""general_skills"": [""Storybook"", ""Tailwind CSS"", ""Performance tuning"", ""Testing libraries"", ""Next.js"", ""Experience contributing to open-source projects""], ""soft_skills"": [""Ability to work independently and collaboratively"", ""Genuine curiosity and eagerness to learn new technologies"", ""Strong ownership and accountability"", ""Comfort working in a fast-paced, ambiguous environment"", ""Excellent problem-solving and analytical skills""], ""min_experience_yrs"": """", ""max_experience_yrs"": """", ""degree_needed"": ""Solid computer science fundamentals, formal degree or self-taught"", ""certifications_required"": []}"
"The Role
Join a remote-first company as a Lead Java Developer and play a key part in building enterprise-grade backend applications in Java. You will work closely with cross-functional teams to ship products that reach real users at scale. This is a lead position for someone able to drive technical direction and lead a team.
Additional Assets:
Kubernetes
Hibernate / JPA
Cloud deployment
Kafka
Experience mentoring junior engineers
Skills & Experience:
Object-oriented design
Spring Boot
Relational databases
Java
REST APIs
Degree in Computer Science or related field, or equivalent hands-on experience
Strong understanding of software engineering fundamentals
Work Experience:
7+ years
Your Role:
Contribute to continuous improvement of engineering processes and best practices
Ensure scalability, security, and maintainability across the codebase
Own features end to end, from planning through deployment and monitoring
Write clean, maintainable, and well-tested code
Mentor teammates and share knowledge across the team
Collaborate with product, design, and engineering teams to deliver high-quality features
Participate in technical decision-making and architecture discussions
Soft Skills:
Ability to work independently and collaboratively
Genuine curiosity and eagerness to learn new technologies
Adaptability and resilience under changing priorities
Strong ownership and accountability","{""job_summary"": ""Join a remote-first company as a Lead Java Developer and play a key part in building enterprise-grade backend applications in Java. You will work closely with cross-functional teams to ship products that reach real users at scale. This is a lead position for someone able to drive technical direction and lead a team."", ""role_description"": [""Contribute to continuous improvement of engineering processes and best practices"", ""Ensure scalability, security, and maintainability across the codebase"", ""Own features end to end, from planning through deployment and monitoring"", ""Write clean, maintainable, and well-tested code"", ""Mentor teammates and share knowledge across the team"", ""Collaborate with product, design, and engineering teams to deliver high-quality features"", ""Participate in technical decision-making and architecture discussions""], ""required_skills"": [""Object-oriented design"", ""Spring Boot"", ""Relational databases"", ""Java"", ""REST APIs"", ""Strong understanding of software engineering fundamentals""], ""general_skills"": [""Kubernetes"", ""Hibernate / JPA"", ""Cloud deployment"", ""Kafka"", ""Experience mentoring junior engineers""], ""soft_skills"": [""Ability to work independently and collaboratively"", ""Genuine curiosity and eagerness to learn new technologies"", ""Adaptability and resilience under changing priorities"", ""Strong ownership and accountability""], ""min_experience_yrs"": ""7"", ""max_experience_yrs"": """", ""degree_needed"": ""Degree in Computer Science or related field, or equivalent hands-on experience"", ""certifications_required"": []}"
"Who We're Looking For
We're hiring a Lead MLOps Engineer to join our team at a fintech company, where you'll focus on operationalizing and scaling machine learning systems in production. This role is ideal for engineers who combine strong technical foundations with genuine curiosity and a drive to take ownership. This is a lead position for someone able to drive technical direction and lead a team.
Relevant Certifications:
* Google Professional Machine Learning Engineer
* Databricks Certified ML Practitioner
Good to Have:
* Feature stores
* Model registries
* Data versioning (DVC)
* MLflow / Kubeflow
* Cloud ML platforms (SageMaker, Vertex AI)
* Familiarity with Agile / Scrum methodologies
Your Impact:
* Review code and provide constructive feedback to peers
* Translate business requirements into scalable technical solutions
* Collaborate with product, design, and engineering teams to deliver high-quality features
* Stay current with emerging technologies and evaluate their fit for our stack
* Own features end to end, from planning through deployment and monitoring
Who You Are:
* Comfort working in a fast-paced, ambiguous environment
* Excellent problem-solving and analytical skills
* Clear written and verbal communication
* A proactive, execution-focused mindset
Minimum Requirements:
* ML model deployment
* CI/CD for ML
* Docker and Kubernetes
* Model monitoring
* Python
* 7+ years of professional experience in a similar role
* Solid computer science fundamentals, formal degree or self-taught
* Strong understanding of software engineering fundamentals","{""job_summary"": ""We're hiring a Lead MLOps Engineer to join our team at a fintech company, where you'll focus on operationalizing and scaling machine learning systems in production. This role is ideal for engineers who combine strong technical foundations with genuine curiosity and a drive to take ownership. This is a lead position for someone able to drive technical direction and lead a team."", ""role_description"": [""Review code and provide constructive feedback to peers"", ""Translate business requirements into scalable technical solutions"", ""Collaborate with product, design, and engineering teams to deliver high-quality features"", ""Stay current with emerging technologies and evaluate their fit for our stack"", ""Own features end to end, from planning through deployment and monitoring""], ""required_skills"": [""ML model deployment"", ""CI/CD for ML"", ""Docker and Kubernetes"", ""Model monitoring"", ""Python"", ""Strong understanding of software engineering fundamentals""], ""general_skills"": [""Feature stores"", ""Model registries"", ""Data versioning (DVC)"", ""MLflow / Kubeflow"", ""Cloud ML platforms (SageMaker, Vertex AI)"", ""Familiarity with Agile / Scrum methodologies""], ""soft_skills"": [""Comfort working in a fast-paced, ambiguous environment"", ""Excellent problem-solving and analytical skills"", ""Clear written and verbal communication"", ""A proactive, execution-focused mindset""], ""min_experience_yrs"": ""7"", ""max_experience_yrs"": """", ""degree_needed"": ""Solid computer science fundamentals, formal degree or self-taught"", ""certifications_required"": [""Google Professional Machine Learning Engineer"", ""Databricks Certified ML Practitioner""]}"
"Job Summary
We're hiring a Senior Backend Engineer to join our team at an e-commerce platform, where you'll focus on designing robust, high-throughput backend services and APIs. This is a hands-on role for someone who thrives in a fast-paced, collaborative environment. This is a senior position for someone capable of leading projects and mentoring other engineers.
Essential Skills:
- Node.js or Python
- Relational databases (PostgreSQL / MySQL)
- REST and GraphQL APIs
- Caching (Redis)
- Message queues
- Solid computer science fundamentals, formal degree or self-taught
- Strong understanding of software engineering fundamentals
Pluses:
- Observability tooling
- gRPC
- Kubernetes
- Event-driven systems
- Microservices architecture
- Experience mentoring junior engineers
What This Role Involves:
- Review code and provide constructive feedback to peers
- Design, develop, and maintain designing robust, high-throughput backend services and APIs
- Stay current with emerging technologies and evaluate their fit for our stack
- Mentor teammates and share knowledge across the team
- Own features end to end, from planning through deployment and monitoring
- Contribute to continuous improvement of engineering processes and best practices
- Write clean, maintainable, and well-tested code
Who You Are:
- Attention to detail and commitment to quality
- Strong ownership and accountability
- Ability to work independently and collaboratively
- Comfort working in a fast-paced, ambiguous environment","{""job_summary"": ""We're hiring a Senior Backend Engineer to join our team at an e-commerce platform, where you'll focus on designing robust, high-throughput backend services and APIs. This is a hands-on role for someone who thrives in a fast-paced, collaborative environment. This is a senior position for someone capable of leading projects and mentoring other engineers."", ""role_description"": [""Review code and provide constructive feedback to peers"", ""Design, develop, and maintain designing robust, high-throughput backend services and APIs"", ""Stay current with emerging technologies and evaluate their fit for our stack"", ""Mentor teammates and share knowledge across the team"", ""Own features end to end, from planning through deployment and monitoring"", ""Contribute to continuous improvement of engineering processes and best practices"", ""Write clean, maintainable, and well-tested code""], ""required_skills"": [""Node.js or Python"", ""Relational databases (PostgreSQL / MySQL)"", ""REST and GraphQL APIs"", ""Caching (Redis)"", ""Message queues"", ""Strong understanding of software engineering fundamentals""], ""general_skills"": [""Observability tooling"", ""gRPC"", ""Kubernetes"", ""Event-driven systems"", ""Microservices architecture"", ""Experience mentoring junior engineers""], ""soft_skills"": [""Attention to detail and commitment to quality"", ""Strong ownership and accountability"", ""Ability to work independently and collaboratively"", ""Comfort working in a fast-paced, ambiguous environment""], ""min_experience_yrs"": """", ""max_experience_yrs"": """", ""degree_needed"": ""Solid computer science fundamentals, formal degree or self-taught"", ""certifications_required"": []}"
"Description
We are looking for a Java Developer to join a mission-driven company focused on building enterprise-grade backend applications in Java. We value engineers who care about quality, take initiative, and want to grow their impact over time. This is a position for someone motivated to make a meaningful impact.
The Right Mindset:
- A proactive, execution-focused mindset
- Genuine curiosity and eagerness to learn new technologies
- Adaptability and resilience under changing priorities
- Ability to work independently and collaboratively
Requirements:
- Object-oriented design
- REST APIs
- Spring Boot
- Relational databases
- Java
- Bachelor's or Master's degree in a technical discipline (or equivalent practical experience)
- Strong understanding of software engineering fundamentals
Certifications:
- Microsoft Certified: Azure Developer Associate
- Certified Scrum Master (CSM)
Nice-to-Haves:
- Kubernetes
- Microservices
- Kafka
- Hibernate / JPA
- Cloud deployment
- Experience contributing to open-source projects
- Interest in AI and applying it to real products
What You'll Be Doing:
- Translate business requirements into scalable technical solutions
- Own features end to end, from planning through deployment and monitoring
- Design, develop, and maintain building enterprise-grade backend applications in Java
- Collaborate with product, design, and engineering teams to deliver high-quality features
- Contribute to continuous improvement of engineering processes and best practices","{""job_summary"": ""We are looking for a Java Developer to join a mission-driven company focused on building enterprise-grade backend applications in Java. We value engineers who care about quality, take initiative, and want to grow their impact over time. This is a position for someone motivated to make a meaningful impact."", ""role_description"": [""Translate business requirements into scalable technical solutions"", ""Own features end to end, from planning through deployment and monitoring"", ""Design, develop, and maintain building enterprise-grade backend applications in Java"", ""Collaborate with product, design, and engineering teams to deliver high-quality features"", ""Contribute to continuous improvement of engineering processes and best practices""], ""required_skills"": [""Object-oriented design"", ""REST APIs"", ""Spring Boot"", ""Relational databases"", ""Java"", ""Strong understanding of software engineering fundamentals""], ""general_skills"": [""Kubernetes"", ""Microservices"", ""Kafka"", ""Hibernate / JPA"", ""Cloud deployment"", ""Experience contributing to open-source projects"", ""Interest in AI and applying it to real products""], ""soft_skills"": [""A proactive, execution-focused mindset"", ""Genuine curiosity and eagerness to learn new technologies"", ""Adaptability and resilience under changing priorities"", ""Ability to work independently and collaboratively""], ""min_experience_yrs"": """", ""max_experience_yrs"": """", ""degree_needed"": ""Bachelor's or Master's degree in a technical discipline (or equivalent practical experience)"", ""certifications_required"": [""Microsoft Certified: Azure Developer Associate"", ""Certified Scrum Master (CSM)""]}"
"Role Overview
a well-funded startup is seeking a Senior QA Automation Engineer to help us with building automated test suites that ensure product quality. You will work closely with cross-functional teams to ship products that reach real users at scale. This is a senior position for someone capable of leading projects and mentoring other engineers.
Work Experience:
* 5+ years
Certifications (Preferred):
* ISTQB Advanced Test Automation Engineer
* ISTQB Certified Tester
Pluses:
* Test strategy design
* Mobile test automation
* BDD (Cucumber)
* Experience contributing to open-source projects
* Familiarity with Agile / Scrum methodologies
What Sets You Apart:
* A team-oriented and reliable attitude
* Clear written and verbal communication
* Excellent problem-solving and analytical skills
* A proactive, execution-focused mindset
* Adaptability and resilience under changing priorities
You Should Have:
* JavaScript or Python
* Test automation frameworks
* API testing
* Selenium or Playwright
* CI/CD integration
* Solid computer science fundamentals, formal degree or self-taught
* Strong understanding of software engineering fundamentals
In This Role You Will:
* Contribute to continuous improvement of engineering processes and best practices
* Mentor teammates and share knowledge across the team
* Collaborate with product, design, and engineering teams to deliver high-quality features
* Ensure scalability, security, and maintainability across the codebase
* Translate business requirements into scalable technical solutions
* Design, develop, and maintain building automated test suites that ensure product quality
* Review code and provide constructive feedback to peers","{""job_summary"": ""a well-funded startup is seeking a Senior QA Automation Engineer to help us with building automated test suites that ensure product quality. You will work closely with cross-functional teams to ship products that reach real users at scale. This is a senior position for someone capable of leading projects and mentoring other engineers."", ""role_description"": [""Contribute to continuous improvement of engineering processes and best practices"", ""Mentor teammates and share knowledge across the team"", ""Collaborate with product, design, and engineering teams to deliver high-quality features"", ""Ensure scalability, security, and maintainability across the codebase"", ""Translate business requirements into scalable technical solutions"", ""Design, develop, and maintain building automated test suites that ensure product quality"", ""Review code and provide constructive feedback to peers""], ""required_skills"": [""JavaScript or Python"", ""Test automation frameworks"", ""API testing"", ""Selenium or Playwright"", ""CI/CD integration"", ""Strong understanding of software engineering fundamentals""], ""general_skills"": [""Test strategy design"", ""Mobile test automation"", ""BDD (Cucumber)"", ""Experience contributing to open-source projects"", ""Familiarity with Agile / Scrum methodologies""], ""soft_skills"": [""A team-oriented and reliable attitude"", ""Clear written and verbal communication"", ""Excellent problem-solving and analytical skills"", ""A proactive, execution-focused mindset"", ""Adaptability and resilience under changing priorities""], ""min_experience_yrs"": ""5"", ""max_experience_yrs"": """", ""degree_needed"": ""Solid computer science fundamentals, formal degree or self-taught"", ""certifications_required"": [""ISTQB Advanced Test Automation Engineer"", ""ISTQB Certified Tester""]}"
"Overview
Join a healthtech company as a Senior Data Analyst and play a key part in analyzing data and delivering insights that drive business decisions. This role is ideal for engineers who combine strong technical foundations with genuine curiosity and a drive to take ownership. This is a senior position for someone capable of leading projects and mentoring other engineers.
Cultural Fit:
* Ability to work independently and collaboratively
* Clear written and verbal communication
* Excellent problem-solving and analytical skills
* A team-oriented and reliable attitude
* Attention to detail and commitment to quality
* A proactive, execution-focused mindset
What We're Looking For:
* Excel and spreadsheets
* Reporting and dashboards
* SQL
* Data visualization (Tableau / Power BI)
* Business metrics analysis
* Bachelor's or Master's degree in a technical discipline (or equivalent practical experience)
* Strong understanding of software engineering fundamentals
Your Responsibilities:
* Contribute to continuous improvement of engineering processes and best practices
* Review code and provide constructive feedback to peers
* Design, develop, and maintain analyzing data and delivering insights that drive business decisions
* Mentor teammates and share knowledge across the team
* Own features end to end, from planning through deployment and monitoring
* Stay current with emerging technologies and evaluate their fit for our stack
* Collaborate with product, design, and engineering teams to deliver high-quality features
Nice-to-Haves:
* Statistical analysis
* ETL basics
* Data storytelling
* Python or R
* A/B testing
* Experience mentoring junior engineers
* Experience contributing to open-source projects","{""job_summary"": ""Join a healthtech company as a Senior Data Analyst and play a key part in analyzing data and delivering insights that drive business decisions. This role is ideal for engineers who combine strong technical foundations with genuine curiosity and a drive to take ownership. This is a senior position for someone capable of leading projects and mentoring other engineers."", ""role_description"": [""Contribute to continuous improvement of engineering processes and best practices"", ""Review code and provide constructive feedback to peers"", ""Design, develop, and maintain analyzing data and delivering insights that drive business decisions"", ""Mentor teammates and share knowledge across the team"", ""Own features end to end, from planning through deployment and monitoring"", ""Stay current with emerging technologies and evaluate their fit for our stack"", ""Collaborate with product, design, and engineering teams to deliver high-quality features""], ""required_skills"": [""Excel and spreadsheets"", ""Reporting and dashboards"", ""SQL"", ""Data visualization (Tableau / Power BI)"", ""Business metrics analysis"", ""Strong understanding of software engineering fundamentals""], ""general_skills"": [""Statistical analysis"", ""ETL basics"", ""Data storytelling"", ""Python or R"", ""A/B testing"", ""Experience mentoring junior engineers"", ""Experience contributing to open-source projects""], ""soft_skills"": [""Ability to work independently and collaboratively"", ""Clear written and verbal communication"", ""Excellent problem-solving and analytical skills"", ""A team-oriented and reliable attitude"", ""Attention to detail and commitment to quality"", ""A proactive, execution-focused mindset""], ""min_experience_yrs"": """", ""max_experience_yrs"": """", ""degree_needed"": ""Bachelor's or Master's degree in a technical discipline (or equivalent practical experience)"", ""certifications_required"": []}"
"The Opportunity
Join a healthtech company as a Senior Python Developer and play a key part in building backend services and automation in Python. This role is ideal for engineers who combine strong technical foundations with genuine curiosity and a drive to take ownership. This is a senior position for someone capable of leading projects and mentoring other engineers.
Requirements:
* Django or FastAPI
* Unit testing
* Relational databases
* REST API design
* Python
* 5+ years of professional experience in a similar role
* Solid computer science fundamentals, formal degree or self-taught
* Strong understanding of software engineering fundamentals
Extra Credit:
* Data processing (Pandas)
* AWS
* Docker
* Celery
* Experience contributing to open-source projects
* Interest in AI and applying it to real products
The Job:
* Write clean, maintainable, and well-tested code
* Collaborate with product, design, and engineering teams to deliver high-quality features
* Participate in technical decision-making and architecture discussions
* Contribute to continuous improvement of engineering processes and best practices
* Troubleshoot, debug, and optimize existing systems for performance and reliability
* Design, develop, and maintain building backend services and automation in Python
Beyond the Technical:
* Comfort working in a fast-paced, ambiguous environment
* Strong ownership and accountability
* Ability to work independently and collaboratively
* Genuine curiosity and eagerness to learn new technologies","{""job_summary"": ""Join a healthtech company as a Senior Python Developer and play a key part in building backend services and automation in Python. This role is ideal for engineers who combine strong technical foundations with genuine curiosity and a drive to take ownership. This is a senior position for someone capable of leading projects and mentoring other engineers."", ""role_description"": [""Write clean, maintainable, and well-tested code"", ""Collaborate with product, design, and engineering teams to deliver high-quality features"", ""Participate in technical decision-making and architecture discussions"", ""Contribute to continuous improvement of engineering processes and best practices"", ""Troubleshoot, debug, and optimize existing systems for performance and reliability"", ""Design, develop, and maintain building backend services and automation in Python""], ""required_skills"": [""Django or FastAPI"", ""Unit testing"", ""Relational databases"", ""REST API design"", ""Python"", ""Strong understanding of software engineering fundamentals""], ""general_skills"": [""Data processing (Pandas)"", ""AWS"", ""Docker"", ""Celery"", ""Experience contributing to open-source projects"", ""Interest in AI and applying it to real products""], ""soft_skills"": [""Comfort working in a fast-paced, ambiguous environment"", ""Strong ownership and accountability"", ""Ability to work independently and collaboratively"", ""Genuine curiosity and eagerness to learn new technologies""], ""min_experience_yrs"": ""5"", ""max_experience_yrs"": """", ""degree_needed"": ""Solid computer science fundamentals, formal degree or self-taught"", ""certifications_required"": []}"
"About This Role
We're hiring a Junior Frontend Engineer to join our team at a global technology organization, where you'll focus on crafting fast, accessible, and delightful user interfaces. This role is ideal for engineers who combine strong technical foundations with genuine curiosity and a drive to take ownership. This is a junior position for someone eager to grow and learn from experienced engineers.
Preferred Skills:
* Next.js
* Testing (Jest, Playwright)
* Web performance optimization
* Tailwind CSS
* Experience contributing to open-source projects
* Interest in AI and applying it to real products
The Right Mindset:
* A proactive, execution-focused mindset
* Comfort working in a fast-paced, ambiguous environment
* A team-oriented and reliable attitude
* Excellent problem-solving and analytical skills
* Clear written and verbal communication
Certifications & Credentials:
* Oracle Certified Professional, Java SE
The Job:
* Participate in technical decision-making and architecture discussions
* Translate business requirements into scalable technical solutions
* Collaborate with product, design, and engineering teams to deliver high-quality features
* Contribute to continuous improvement of engineering processes and best practices
* Own features end to end, from planning through deployment and monitoring
Must Haves:
* React
* JavaScript / TypeScript
* HTML5 & CSS3
* Responsive design
* State management (Redux / Zustand)
* Degree in Computer Science or related field, or equivalent hands-on experience
* Strong understanding of software engineering fundamentals","{""job_summary"": ""We're hiring a Junior Frontend Engineer to join our team at a global technology organization, where you'll focus on crafting fast, accessible, and delightful user interfaces. This role is ideal for engineers who combine strong technical foundations with genuine curiosity and a drive to take ownership. This is a junior position for someone eager to grow and learn from experienced engineers."", ""role_description"": [""Participate in technical decision-making and architecture discussions"", ""Translate business requirements into scalable technical solutions"", ""Collaborate with product, design, and engineering teams to deliver high-quality features"", ""Contribute to continuous improvement of engineering processes and best practices"", ""Own features end to end, from planning through deployment and monitoring""], ""required_skills"": [""React"", ""JavaScript / TypeScript"", ""HTML5 & CSS3"", ""Responsive design"", ""State management (Redux / Zustand)"", ""Strong understanding of software engineering fundamentals""], ""general_skills"": [""Next.js"", ""Testing (Jest, Playwright)"", ""Web performance optimization"", ""Tailwind CSS"", ""Experience contributing to open-source projects"", ""Interest in AI and applying it to real products""], ""soft_skills"": [""A proactive, execution-focused mindset"", ""Comfort working in a fast-paced, ambiguous environment"", ""A team-oriented and reliable attitude"", ""Excellent problem-solving and analytical skills"", ""Clear written and verbal communication""], ""min_experience_yrs"": """", ""max_experience_yrs"": """", ""degree_needed"": ""Degree in Computer Science or related field, or equivalent hands-on experience"", ""certifications_required"": [""Oracle Certified Professional, Java SE""]}"
"About The Role
As a Mid-level Embedded Systems Engineer at a fintech company, you will be responsible for developing firmware and embedded software for hardware devices. This role is ideal for engineers who combine strong technical foundations with genuine curiosity and a drive to take ownership. This is a mid-level position for someone ready to take ownership of features and deliver independently.
Essential Skills:
RTOS
Hardware-software interfacing
C / C++
Microcontrollers
Debugging with oscilloscopes / JTAG
2-4 years of professional experience in a similar role
Bachelor's or Master's degree in a technical discipline (or equivalent practical experience)
Strong understanding of software engineering fundamentals
Personal Qualities:
Genuine curiosity and eagerness to learn new technologies
Clear written and verbal communication
Excellent problem-solving and analytical skills
Ability to work independently and collaboratively
Strong ownership and accountability
Comfort working in a fast-paced, ambiguous environment
Day-to-Day:
Troubleshoot, debug, and optimize existing systems for performance and reliability
Participate in technical decision-making and architecture discussions
Collaborate with product, design, and engineering teams to deliver high-quality features
Ensure scalability, security, and maintainability across the codebase
Write clean, maintainable, and well-tested code
Nice-to-Haves:
Linux kernel
IoT protocols (MQTT, BLE)
Low-power design
Familiarity with Agile / Scrum methodologies","{""job_summary"": ""As a Mid-level Embedded Systems Engineer at a fintech company, you will be responsible for developing firmware and embedded software for hardware devices. This role is ideal for engineers who combine strong technical foundations with genuine curiosity and a drive to take ownership. This is a mid-level position for someone ready to take ownership of features and deliver independently."", ""role_description"": [""Troubleshoot, debug, and optimize existing systems for performance and reliability"", ""Participate in technical decision-making and architecture discussions"", ""Collaborate with product, design, and engineering teams to deliver high-quality features"", ""Ensure scalability, security, and maintainability across the codebase"", ""Write clean, maintainable, and well-tested code""], ""required_skills"": [""RTOS"", ""Hardware-software interfacing"", ""C / C++"", ""Microcontrollers"", ""Debugging with oscilloscopes / JTAG"", ""Strong understanding of software engineering fundamentals""], ""general_skills"": [""Linux kernel"", ""IoT protocols (MQTT, BLE)"", ""Low-power design"", ""Familiarity with Agile / Scrum methodologies""], ""soft_skills"": [""Genuine curiosity and eagerness to learn new technologies"", ""Clear written and verbal communication"", ""Excellent problem-solving and analytical skills"", ""Ability to work independently and collaboratively"", ""Strong ownership and accountability"", ""Comfort working in a fast-paced, ambiguous environment""], ""min_experience_yrs"": ""2"", ""max_experience_yrs"": ""4"", ""degree_needed"": ""Bachelor's or Master's degree in a technical discipline (or equivalent practical experience)"", ""certifications_required"": []}"
